2606.08044	When Behavioral Safety Evaluation Fails: A Representation-Level Perspective	Jiang, Enyi	2026/06/06
2604.27401	Perturbation Probing: A Two-Pass-per-Prompt Diagnostic for FFN Behavioral Circuits in Aligned LLMs	Liu, Hongliang	2026/04/30
2603.14278	Activation Surgery: Jailbreaking White-box LLMs without Touching the Prompt	Jenny, Maël	2026/03/15
2609.00051	From Detection to Refusal: Safer LLMs via Circuit-Guided Weight Scaling	Chu, Kuan-Lin	2026/08/30
2609.03887	Beyond Shallow Alignment: How Post-Training Methods Determine Refusal Circuits And Steering Robustness	Nguyen, Hoang Cuong	2026/09/03
2608.25390	Refusal geometry reflects refusal training: diverse refusal prefixes can raise stable rank and weaken refusal vector ablation attacks	Labunets, Andrey	2026/08/26
2607.01854	Has This Checkpoint Been Abliterated? A Two-Signal Audit and Its Failure Map	Hurtado, Gabriel	2026/07/02
2609.09793	How Fragile Is Safety Alignment at Frontier Scale? A Single-Direction Attack on a 320B MoE	Shi, Yi	2026/09/09
2602.02132	There Is More to Refusal in Large Language Models than a Single Direction	Joad, Faaiz	2026/02/02
2505.17306	Refusal Direction is Universal Across Safety-Aligned Languages	Wang, Xinpeng	2025/05/22
2603.24543	Analysing the Safety Pitfalls of Steering Vectors	Li, Yuxiao	2026/03/25
2604.15557	Predicting Where Steering Vectors Succeed	Billa, Jayadev	2026/04/16
2609.14151	Signatures of Steerability in Activation Space of Language Models	Bhattarai, Prajjwal	2026/09/12
2506.24056	Logit-Gap Steering: A Forward-Pass Diagnostic for Alignment Robustness	Li, Tung-Ling	2025/06/30
2608.09624	Measuring the Wrong Thing: Internal Harmfulness Scores Anti-Rank Successful Jailbreaks	Luo, Mingyu	2026/08/10
2607.12792	Silent Alarm: A J-Space Protocol for Comparing Danger Recognition Across Models and Quantization Levels	Prosvirnin, Roman	2026/07/14
2607.14147	Breaking Refusal in the First Half: A Mechanistic Study of the Prefill Jailbreak	Kwon, Alex	2026/07/14
2603.27518	Over-Refusal and Representation Subspaces: A Mechanistic Analysis of Task-Conditioned Refusal in Aligned LLMs	Maskey, Utsav	2026/03/29
2609.04721	Locating and Steering Refusal Beyond Attention	Bosco, Preethi Carmel	2026/09/04
2512.13655	Comparative Analysis of LLM Abliteration Methods: A Cross-Architecture Evaluation	Young, Richard J.	2025/12/15
